sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
21N02076	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02076	21N02076_Lib-5_1	data/fastqs/LOSH_005/L_21N02076_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02076_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4129924.336	4033349.479
21N02077	1	Lib-4	22FWCTLT4	ILLUMINA	7	21N02077	21N02077_Lib-4_1	data/fastqs/LOSH_004/L_21N02077_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_21N02077_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3397686.132	3315761.717
21N02082	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02082	21N02082_Lib-3_1	data/fastqs/LOSH_003/21N02082_S149_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02082_S149_L004_R2_001.fastq.gz	3152293.952	3209397.858
21N02084	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02084	21N02084_Lib-3_1	data/fastqs/LOSH_003/21N02084_S150_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02084_S150_L004_R2_001.fastq.gz	4140948.005	4192785.517
21N02085	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02085	21N02085_Lib-3_1	data/fastqs/LOSH_003/21N02085_S151_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02085_S151_L004_R2_001.fastq.gz	4784663.376	5009719.008
21N02096	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02096	21N02096_Lib-3_1	data/fastqs/LOSH_003/21N02096_S152_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02096_S152_L004_R2_001.fastq.gz	4566816.571	4724364.301
21N02098	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02098	21N02098_Lib-3_1	data/fastqs/LOSH_003/21N02098_S153_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02098_S153_L004_R2_001.fastq.gz	4694861.404	4860623.541
21N02101	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02101	21N02101_Lib-3_1	data/fastqs/LOSH_003/21N02101_S154_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02101_S154_L004_R2_001.fastq.gz	5309680.941	5421087.12
21N02102	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02102	21N02102_Lib-3_1	data/fastqs/LOSH_003/21N02102_S155_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02102_S155_L004_R2_001.fastq.gz	5716124.168	5913837.322
21N02103	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02103	21N02103_Lib-5_1	data/fastqs/LOSH_005/L_21N02103_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02103_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4176659.869	4099503.285
21N02105	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02105	21N02105_Lib-3_1	data/fastqs/LOSH_003/21N02105_S156_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02105_S156_L004_R2_001.fastq.gz	3832671.55	3660143.003
21N02109	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02109	21N02109_Lib-3_1	data/fastqs/LOSH_003/21N02109_S157_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02109_S157_L004_R2_001.fastq.gz	5533503.858	5439771.461
21N02110	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02110	21N02110_Lib-3_1	data/fastqs/LOSH_003/21N02110_S158_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02110_S158_L004_R2_001.fastq.gz	5399601.839	5527188.328
21N02111	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02111	21N02111_Lib-3_1	data/fastqs/LOSH_003/21N02111_S159_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02111_S159_L004_R2_001.fastq.gz	5666181.563	5888681.377
21N02112	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02112	21N02112_Lib-3_1	data/fastqs/LOSH_003/21N02112_S160_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02112_S160_L004_R2_001.fastq.gz	5255569.257	5421263.846
21N02117	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02117	21N02117_Lib-3_1	data/fastqs/LOSH_003/21N02117_S161_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02117_S161_L004_R2_001.fastq.gz	4633346.979	4714819.022
21N02119	1	Lib-3	H7FMMDSXC	ILLUMINA	4	21N02119	21N02119_Lib-3_1	data/fastqs/LOSH_003/21N02119_S162_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/21N02119_S162_L004_R2_001.fastq.gz	4979281.614	4917798.433
21N02124	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02124	21N02124_Lib-5_1	data/fastqs/LOSH_005/L_21N02124_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02124_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4309201.363	4221693.859
21N02125	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02125	21N02125_Lib-5_1	data/fastqs/LOSH_005/L_21N02125_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02125_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3754526.42	3653286.411
21N02128	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02128	21N02128_Lib-5_1	data/fastqs/LOSH_005/L_21N02128_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02128_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4027681.846	3939774.875
21N02129	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02129	21N02129_Lib-5_1	data/fastqs/LOSH_005/L_21N02129_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02129_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3555599.661	3471226.526
21N02192	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02192	21N02192_Lib-5_1	data/fastqs/LOSH_005/L_21N02192_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02192_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2675165.268	2603206.604
21N02193	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02193	21N02193_Lib-5_1	data/fastqs/LOSH_005/L_21N02193_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02193_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4445908.2	4386553.213
21N02194	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02194	21N02194_Lib-5_1	data/fastqs/LOSH_005/L_21N02194_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02194_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3842729.278	3779899.627
21N02195	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02195	21N02195_Lib-5_1	data/fastqs/LOSH_005/L_21N02195_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02195_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4107210.51	4024585.784
21N02196	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02196	21N02196_Lib-5_1	data/fastqs/LOSH_005/L_21N02196_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02196_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4281138.305	4210505.573
21N02197	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02197	21N02197_Lib-5_1	data/fastqs/LOSH_005/L_21N02197_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02197_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3008062.802	2946798.628
21N02198	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02198	21N02198_Lib-5_1	data/fastqs/LOSH_005/L_21N02198_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02198_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2559310.851	2497759.066
21N02199	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02199	21N02199_Lib-5_1	data/fastqs/LOSH_005/L_21N02199_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02199_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3552416.059	3488579.473
21N02200	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02200	21N02200_Lib-5_1	data/fastqs/LOSH_005/L_21N02200_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02200_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4134386.99	4068573.11
21N02201	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02201	21N02201_Lib-5_1	data/fastqs/LOSH_005/L_21N02201_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02201_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3601334.329	3516521.159
21N02227	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02227	21N02227_Lib-5_1	data/fastqs/LOSH_005/L_21N02227_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02227_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3305937.836	3249380.822
22N04609	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04609	22N04609_Lib-3_1	data/fastqs/LOSH_003/22N04609_S163_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04609_S163_L004_R2_001.fastq.gz	4672236.767	4866604.301
22N04613	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04613	22N04613_Lib-3_1	data/fastqs/LOSH_003/22N04613_S164_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04613_S164_L004_R2_001.fastq.gz	5694381.897	5808966.524
22N04618	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04618	22N04618_Lib-3_1	data/fastqs/LOSH_003/22N04618_S165_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04618_S165_L004_R2_001.fastq.gz	6176633.72	6206039.745
22N04619	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04619	22N04619_Lib-3_1	data/fastqs/LOSH_003/22N04619_S166_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04619_S166_L004_R2_001.fastq.gz	5455992.502	5553300.321
22N04620	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04620	22N04620_Lib-3_1	data/fastqs/LOSH_003/22N04620_S167_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04620_S167_L004_R2_001.fastq.gz	6387909.644	6526714.518
22N04621	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04621	22N04621_Lib-3_1	data/fastqs/LOSH_003/22N04621_S168_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04621_S168_L004_R2_001.fastq.gz	4643462.507	4575897.124
22N04622	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04622	22N04622_Lib-3_1	data/fastqs/LOSH_003/22N04622_S169_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04622_S169_L004_R2_001.fastq.gz	6175143.677	6368892.649
22N04624	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04624	22N04624_Lib-3_1	data/fastqs/LOSH_003/22N04624_S170_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04624_S170_L004_R2_001.fastq.gz	5904607.566	5964351.386
22N04625	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04625	22N04625_Lib-3_1	data/fastqs/LOSH_003/22N04625_S171_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04625_S171_L004_R2_001.fastq.gz	6189762.811	6300310.975
22N04627	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04627	22N04627_Lib-3_1	data/fastqs/LOSH_003/22N04627_S172_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04627_S172_L004_R2_001.fastq.gz	6873704.47	7028260.471
22N04630	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04630	22N04630_Lib-3_1	data/fastqs/LOSH_003/22N04630_S173_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04630_S173_L004_R2_001.fastq.gz	5912816.531	6147855.204
22N04632	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04632	22N04632_Lib-3_1	data/fastqs/LOSH_003/22N04632_S174_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04632_S174_L004_R2_001.fastq.gz	4990066.325	5095029.39
22N04633	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04633	22N04633_Lib-3_1	data/fastqs/LOSH_003/22N04633_S175_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04633_S175_L004_R2_001.fastq.gz	5488344.49	5805790.385
22N04634	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04634	22N04634_Lib-3_1	data/fastqs/LOSH_003/22N04634_S176_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04634_S176_L004_R2_001.fastq.gz	5132353.55	5221218.924
22N04635	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04635	22N04635_Lib-3_1	data/fastqs/LOSH_003/22N04635_S177_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04635_S177_L004_R2_001.fastq.gz	6684856.243	6985116.385
22N04636	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04636	22N04636_Lib-3_1	data/fastqs/LOSH_003/22N04636_S178_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04636_S178_L004_R2_001.fastq.gz	6392209.383	6691887.908
22N04639	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04639	22N04639_Lib-3_1	data/fastqs/LOSH_003/22N04639_S179_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04639_S179_L004_R2_001.fastq.gz	5919159.046	6117188.786
22N04640	1	Lib-5	22FWCTLT4	ILLUMINA	8	22N04640	22N04640_Lib-5_1	data/fastqs/LOSH_005/L_22N04640_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_22N04640_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4393314.822	4293635.54
22N04641	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04641	22N04641_Lib-3_1	data/fastqs/LOSH_003/22N04641_S180_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04641_S180_L004_R2_001.fastq.gz	5040631.865	5229363.118
22N04643	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04643	22N04643_Lib-3_1	data/fastqs/LOSH_003/22N04643_S181_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04643_S181_L004_R2_001.fastq.gz	4371871.573	4524846.47
22N04652	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04652	22N04652_Lib-3_1	data/fastqs/LOSH_003/22N04652_S182_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04652_S182_L004_R2_001.fastq.gz	5511316.557	5787693.994
22N04654	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04654	22N04654_Lib-3_1	data/fastqs/LOSH_003/22N04654_S183_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04654_S183_L004_R2_001.fastq.gz	5588611.233	5848911.25
22N04656	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04656	22N04656_Lib-3_1	data/fastqs/LOSH_003/22N04656_S184_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04656_S184_L004_R2_001.fastq.gz	6674804.485	6971400.131
22N04658	1	Lib-3	H7FMMDSXC	ILLUMINA	4	22N04658	22N04658_Lib-3_1	data/fastqs/LOSH_003/22N04658_S185_L004_R1_001.fastq.gz	data/fastqs/LOSH_003/22N04658_S185_L004_R2_001.fastq.gz	5721648.838	5947612.848
22N04662	1	Lib-5	22FWCTLT4	ILLUMINA	8	22N04662	22N04662_Lib-5_1	data/fastqs/LOSH_005/L_22N04662_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_22N04662_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4371514.207	4267328.876
22N04663	1	Lib-5	22FWCTLT4	ILLUMINA	8	22N04663	22N04663_Lib-5_1	data/fastqs/LOSH_005/L_22N04663_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_22N04663_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3953086.596	3874250.983
22N04664	1	Lib-4	22FWCTLT4	ILLUMINA	7	22N04664	22N04664_Lib-4_1	data/fastqs/LOSH_004/L_22N04664_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_22N04664_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3627036.199	3779322.45
22N06256	1	Lib-5	22FWCTLT4	ILLUMINA	8	22N06256	22N06256_Lib-5_1	data/fastqs/LOSH_005/L_22N06256_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_22N06256_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2752187.056	2693956.176
